"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"4499820","2020","X3 xDrive30i","249","4.9","2.9","Blue","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","13132","SUV","4"
"1213560","2013","328 i xDrive","245","4.6","3.7","White Metallic","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","106830","Sedan","4"
"3113010","2019","330 i","258","4.9","4.9","Black Sapphire Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","22205","Sedan","4"
"4229820","2018","X5 xDrive35i","306","4.8","3.5","Blue","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","45332","SUV","4"
"6187410","2020","X7 xDrive40i","381","4.9","3","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","34108","SUV","4"
"322920","2019","330 i xDrive","258","4.9","4.3","Mineral Gray Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","31620","Sedan","4"
"4073940","2021","X3 sDrive30i","249","4.7","4.5","Jet Black","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","16211","Crossover","4"
"3269970","2018","530 i xDrive","249","4.8","4.9","Imperial Blue Metallic","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","25581","Sedan","4"
"3509730","2019","330 i","258","4.9","2.1","Glacier Silver Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","18937","Sedan","4"
"5038830","2019","X5 xDrive40i","340","4.7","4.8","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","30572","SUV","4"
"5698800","2021","X5 xDrive40i","340","4.8","4.3","Arctic Gray Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","14486","SUV","4"
"4796820","2019","X5 xDrive40i","340","4.7","4.9","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","51130","SUV","4"
"4724550","2019","M550 i xDrive","530","4.5","4.1","Bluestone Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","29618","Sedan","4"
"456390","2017","M2 Base","460","4.9","2.3","Black Sapphire Metallic","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","16189","Coupe","2"
"1599930","2016","X3 xDrive28i","245","4.6","1.6","Alpine White","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","98960","SUV","4"
"719910","2011","328 i xDrive","245","4.5","3.7","Black","All-wheel Drive","26","Gasoline","6-Speed Automatic","3","6","107987","Sedan","4"
"3259890","2017","X5 xDrive35i","306","4.7","4.6","Gray","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","66395","SUV","4"
"3505680","2017","X5 xDrive35i","306","4.7","4.7","Jet Black","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","37371","SUV","4"
"260910","2017","X3 xDrive28i","245","4.8","4.8","Alpine White","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","45623","SUV","4"
"3364920","2019","X3 xDrive30i","249","4.7","4.4","Glacier Silver Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","18302","SUV","4"
"3104190","2018","X3 xDrive30i","249","4.8","4.8","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","62594","SUV","4"
"4046580","2020","X3 sDrive30i","249","4.9","4.5","Dark Graphite Metallic","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","18656","Crossover","4"
"403920","2021","X3 sDrive30i","249","4.7","4.3","Dark Graphite","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","19635","Crossover","4"
"5363190","2019","X5 xDrive40i","340","4.7","4.6","–","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","20000","SUV","4"
"4401900","2019","X5 xDrive40i","340","4.7","4.5","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","56007","SUV","4"
"2788830","2018","330 i xDrive","258","4.8","4.7","Jet Black","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","53720","Sedan","4"
"402660","2021","330 i xDrive","258","4.9","4.7","Jet Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","12588","Sedan","4"
"3104190","2020","X3 xDrive30i","249","4.9","5","Phytonic Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","49870","SUV","4"
"3528270","2020","X3 xDrive30i","249","4.9","3.7","Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","28095","SUV","4"
"2848680","2019","X3 xDrive30i","249","4.7","4.6","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","80894","SUV","4"
"3419820","2021","X1 xDrive28i","231","5","4.4","Gray","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","13852","SUV","4"
"3283830","2019","X3 xDrive30i","249","4.7","4.5","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","20765","SUV","4"
"265320","2018","X2 sDrive28i","231","4.7","4.3","Mineral Gray Metallic","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","47986","Crossover","4"
"6299550","2019","X5 xDrive50i","329","4.7","4.9","Black Sapphire Metallic","All-wheel Drive","22","Gasoline","8-Speed Automatic","4.4","8","13965","SUV","4"
"3119760","2019","330 i","258","4.9","4.7","Jet Black","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","35396","Sedan","4"
"483750","2019","X5 xDrive40i","340","4.7","4.5","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","18248","SUV","4"
